key,description,weight,predicted_weight,absolute_error,weighed_absolute_error,url
ppf8hc,thé,470.0,250,220.0,13.777481678880747,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/66b9acee-e336-4260-8e14-75bfd6bd7ead
p96w4a,"gratin pates avec thon, petits pois, poivrons et fromage à gratiner",157.0,350,193.0,4.0374417055296465,https://www.myfoodrepo.org/api/v1/subjects/p96w4a/dish_media/2560a081-c1dd-48cf-aa05-a02ed674827f
xjvrtk,aubergine au four,257.0,120,137.0,4.691405729513658,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/02911570-1e99-4b2c-9ad0-469321a8a342
p8a2w5,lait dans le café,177.0,50,127.0,2.9952031978680878,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/03210130-04f7-45e1-babd-2c0693093101
wrah5h,pizza aux épinards,149.0,250,101.0,2.005196535642905,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/bd7799bb-241d-4652-8129-fbaf9bb88d41
m4egh2,bière grimbergen rouge,249.0,330,81.0,2.687408394403731,https://www.myfoodrepo.org/api/v1/subjects/m4egh2/dish_media/444413a1-c868-455d-8634-7cce2244e9be
2ahgvr,humus maison,40.0,120,80.0,0.42638241172551633,https://www.myfoodrepo.org/api/v1/subjects/2ahgvr/dish_media/e6a9b184-1bd0-4fe5-a0d9-2962cbf7c29a
xjvrtk,ananas,120.0,50,70.0,1.1192538307794804,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/f0284a02-724e-4310-940d-e0fdd9893c70
6fwmw2,thon,150.0,80,70.0,1.3990672884743505,https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/4198fd55-f46c-4b22-a0ab-215e7f648628
xjvrtk,tarte flambée pomme rhubarbe,250.0,180,70.0,2.3317788141239175,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/f607625b-a07d-423e-a564-4d96ebadf084
8japfq,gâteau au chocolat,57.0,120,63.0,0.47848101265822784,https://www.myfoodrepo.org/api/v1/subjects/8japfq/dish_media/2a854c3d-0ba9-4c3f-b22c-630cbe2d37cd
8japfq,café,60.0,120,60.0,0.47968021319120585,https://www.myfoodrepo.org/api/v1/subjects/8japfq/dish_media/86ceb725-f8aa-4f49-a72d-d44fb229ea99
6fwmw2,mélange de légumes,146.0,90,56.0,1.0894070619586942,https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/1ddcaacb-fd1a-4ee3-a08b-a3721350d9a9
xjvrtk,oignon frais,80.0,30,50.0,0.5329780146568954,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/59e31b5a-2c5c-48e7-b889-58ed408a3a0a
r3bub9,croissant au jambon,70.0,120,50.0,0.46635576282478347,https://www.myfoodrepo.org/api/v1/subjects/r3bub9/dish_media/ef5d035f-6fc5-4951-aa67-72239a7b5bdf
ppf8hc,brocolis,139.0,90,49.0,0.9075283144570286,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/5dfa5302-a2e6-4c74-94fd-8e014ec012bc
xjvrtk,café au lait,298.0,250,48.0,1.905929380413058,https://www.myfoodrepo.org/api/v1/subjects/xjvrtk/dish_media/da3473b4-282c-4045-80b1-194b8fe5cbcb
p8a2w5,sauce bolognese,136.0,90,46.0,0.8335776149233844,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/abad1443-f704-4eb9-9657-7a67252ff801
p8a2w5,pillons de poulet,48.0,90,42.0,0.2686209193870753,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/a80cc37c-4f30-4827-84cd-91a2f89042c2
wrah5h,porridge,163.0,200,37.0,0.803597601598934,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/2e7b02f3-969a-4269-bf8a-ee2710c121bc
p8a2w5,lait,114.0,150,36.0,0.5468354430379747,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/4c05ee25-7f4e-4aba-8d89-4b7c5345b4b8
wrah5h,porc,56.0,90,34.0,0.25369753497668224,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/ceb176a9-3e1f-48fe-a4ac-1ab12637221f
6fwmw2,brocoli,122.0,90,32.0,0.52018654230513,https://www.myfoodrepo.org/api/v1/subjects/6fwmw2/dish_media/a2a7a39e-6053-4f38-806d-2bfed94b37c0
p8a2w5,lait d'avoine,90.0,120,30.0,0.3597601598934044,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/ac28838e-2a46-49a2-98c8-d5c99aed7da4
ppf8hc,thé,276.0,250,26.0,0.9561625582944704,https://www.myfoodrepo.org/api/v1/subjects/ppf8hc/dish_media/8155f43d-34a0-4b8f-b57c-9c17b005eacb
wrah5h,poire,175.0,200,25.0,0.5829447035309794,https://www.myfoodrepo.org/api/v1/subjects/wrah5h/dish_media/8487ef93-2680-471e-986f-692657cd360f
p8a2w5,tomates,64.0,40,24.0,0.20466355762824784,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/f868b1f6-81b3-484e-96bf-327209241f0e
p8a2w5,cocktail hugo,227.0,250,23.0,0.6956695536309128,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/70f588a4-d721-46c4-8289-13adaeac86cd
p8a2w5,"dalh de lentilles corail (lentilles corail, oignon, carottes, tomates concassées, 1cs huilde d'olive, épices)",271.0,250,21.0,0.7582944703530979,https://www.myfoodrepo.org/api/v1/subjects/p8a2w5/dish_media/82b53493-1c97-472b-9ec6-8cc698b8cfe4
